pollster,id,polls,aapor,banned,ppm,grade,bias,called,outMOE,avgErr,advPM,nBias,rawBias,house
Victory Enterprises,525,1,no,no,0.8435,B/C,-0.3945,0,1,17.36,10.1549,1,-17.36,-0.3945
Phillips Academy,699,7,no,no,0.8436,B/C,-0.8892,0.5714,0.4286,5.5443,1.9213,7,-3.5329,-0.8892
GCR & Associates,110,1,no,no,0.8444,B/C,,1,1,18.3,10.1955,0,,
Clout Research,55,16,no,no,0.8484,B/C,-1.558,0.5625,0.4375,6.7631,1.8235,15,-5.708,-1.558
Brandwatch Qriously,610,3,no,no,0.8512,B/C,0.725,1,1,6.54,3.0292,3,6.54,0.725
Schapiro Group,300,2,no,no,0.8614,B/C,,0.5,0.5,21.495,7.1404,0,,
Millersville University,210,5,no,no,0.8642,B/C,-0.4764,0.8,0.8,14.156,6.0336,5,-10.372,-0.4764
Miami Univerity,886,2,no,no,0.8657,B/C,0.69,0.5,0.5,6.9,3.3592,2,6.9,0.69
Hampton University,131,4,no,no,0.8707,B/C,-0.6297,0.5,0.5,7.53,3.2469,4,-5.795,-0.6297
Bainbridge Media Group,656,1,no,no,0.8761,B/C,0.3622,1,1,21.18,15.0379,1,21.18,0.3622
Massie & Associates,199,2,no,no,0.8917,B/C,-0.3969,0,1,23.97,16.4346,2,-23.97,-0.3969
Loras College,171,18,no,no,0.8958,B/C,1.2705,0.7222,0.3333,8.14,1.301,14,4.3957,1.2705
University of Iowa,353,3,no,no,0.8994,B/C,-0.2426,0.6667,0.6667,17.2433,6.4665,1,-6.63,-0.2426
Constituent Dynamics,58,7,no,no,0.9092,B/C,,0.8571,0.7143,9.4814,3.6043,0,,
Survation,889,2,no,no,0.9122,B/C,0.611,0,0.5,6.11,3.717,2,6.11,0.611
DeSales University,474,1,no,no,0.9187,B/C,0.569,1,1,14.26,8.1443,1,14.26,0.569
Greg Smith & Associates,128,5,no,no,0.9193,B/C,0.7189,0.4,0.4,10.132,4.6201,5,10.132,0.7189
Cole Hargrave Snodgrass & Associates,56,5,no,no,0.9249,B/C,0.0714,0.6,0.4,8.118,2.9784,3,3.4433,0.0714
Roanoke College,292,23,yes,no,0.9297,B/C,0.6333,0.8043,0.4348,7.58,2.0802,19,1.5363,0.6333
Kiaer Research,585,2,no,no,0.9412,B/C,0.815,1,1,10.62,5.0571,2,10.62,0.815
Hendrix College,138,18,no,no,0.9416,B/C,1.7853,0.9444,0.6111,8.165,1.9513,17,5.1324,1.7853
Marketing Workshop,194,8,no,no,0.9423,B/C,0.2644,0.5,0.625,10.6,3.4863,8,3.4725,0.2644
Momentum Analysis,214,3,no,no,0.9475,B/C,0.2791,0.3333,1,13.66,7.4587,3,5.7267,0.2791
Craciun Research Group,61,1,no,no,0.9481,B/C,0.578,0,1,19.17,11.3951,1,19.17,0.578
Western Kentucky University,379,4,no,no,0.9655,B/C,0.6954,0.75,0.75,10.91,3.5339,3,8.3667,0.6954
Market Research Insight,185,27,no,no,0.9706,B/C,-0.4528,0.7778,0.7037,8.0993,1.9629,27,-1.1689,-0.4528
IZQ Strategies,887,1,no,no,0.9826,B/C,,0,1,12.4,7.6549,0,,
Citizen Data,616,12,no,no,0.9849,B/C,2.3437,0.5833,0.6667,7.0433,2.1057,12,7.0433,2.3437
Truedot,880,2,no,no,1.0359,B/C,0.953,0.5,0.5,9.53,5.0851,2,9.53,0.953
Baldwin Wallace University,401,4,no,no,1.0406,B/C,1.294,0.5,0.75,8.84,3.6713,4,8.84,1.294
Amber Integrated,556,8,no,no,1.0604,B/C,1.8678,0.875,0.375,8.25,2.1688,8,6.8,1.8678
BWD Global,527,2,no,no,1.0782,B/C,-0.1061,1,0.5,13.5,9.1008,1,-4.36,-0.1061
Repass,268,4,no,no,1.0893,B/C,0.065,1,0.5,13.685,5.0351,1,1.69,0.065
Rutgers University,295,19,yes,no,1.0911,B/C,0.9699,0.8947,0.3684,7.5021,3.2642,19,2.4516,0.9699
We Ask America,376,56,no,no,1.0948,C,-0.7819,0.8125,0.4464,6.7341,1.768,37,-1.6781,-0.7819
Carroll Strategies,450,5,no,no,1.097,B/C,-1.5051,0.8,0.6,9.88,3.1969,5,-9.88,-1.5051
Glascock Group,116,2,no,no,1.1088,B/C,0.1939,0.5,1,15.06,10.3329,2,3.8,0.1939
Tomahawk Strategies,737,1,no,no,1.1104,B/C,0.7822,0,1,17.06,11.4124,1,17.06,0.7822
ccAdvertising,396,33,no,no,1.1296,B/C,-2.2423,0.8485,0.7576,7.3633,2.3204,33,-5.5464,-2.2423
Center Street PAC,715,4,no,no,1.1328,B/C,1.5509,0.75,0.75,9.62,4.1742,4,9.62,1.5509
Thomas Partners Strategies,452,2,no,no,1.1357,B/C,-1.0429,0,1,15.55,8.1543,2,-15.55,-1.0429
American Research Group,9,280,yes,no,1.1424,C,0.0699,0.7536,0.4071,7.7305,1.4081,86,0.1156,0.0699
Dane & Associates,71,2,no,no,1.1514,B/C,-0.7162,0.5,1,21.3,15.643,2,-21.3,-0.7162
GOP Calls,654,2,no,no,1.1521,B/C,-0.814,1,1,21.05,14.4025,2,-21.05,-0.814
McLaughlin & Associates,203,29,no,no,1.1627,B/C,-1.6967,0.6897,0.3448,7.3552,2.2826,29,-3.8103,-1.6967
Mitchell Research & Communications,213,82,no,no,1.1644,C,0.9357,0.6951,0.3902,6.7201,1.2855,57,1.3502,0.9357
Riggs Research Services,289,1,no,no,1.1649,B/C,0.6635,0,1,33.65,27.8356,1,33.65,0.6635
Meredith College,423,6,no,no,1.1675,B/C,1.0541,0.5,0.6667,10.135,3.2364,4,7.055,1.0541
FM3 Research,91,11,no,no,1.1805,B/C,1.8391,0.6818,0.4545,8.4291,3.4531,11,7.9618,1.8391
Saint Leo University Polling Institute,299,6,no,no,1.1911,B/C,1.3805,0.3333,0.6667,8.5,4.5105,6,8.5,1.3805
CPEC,38,2,no,no,1.1969,B/C,,1,1,15.87,10.6546,0,,
SoonerPoll.com,308,26,yes,no,1.197,B/C,2.6558,0.7692,0.5,9.0015,3.0359,22,6.4936,2.6558
TargetPoint,331,2,no,no,1.2067,B/C,,1,1,18.34,10.8227,0,,
University of Minnesota,143,10,no,no,1.2507,B/C,0.4318,0.5,0.3,10.269,5.3583,8,3.7812,0.4318
Elucd,549,4,no,no,1.2537,B/C,,0.5,0.75,13.025,5.3883,0,,
Target Insyght,330,6,no,no,1.2562,B/C,-0.4878,0.75,0.3333,10.2833,4.5594,4,-3.8925,-0.4878
"Island Analytics & Marketing, LLC",736,1,no,no,1.2636,B/C,,0,1,22.1,14.7529,0,,
Trafalgar Group/Insider Advantage,9032,3,no,no,1.2684,B/C,-1.9108,1,1,12.5733,5.2534,3,-12.5733,-1.9108
Opinion Research Associates,242,14,no,no,1.2867,B/C,1.6102,0.6071,0.4286,9.1914,4.1824,14,7.64,1.6102
Capen Analytics,827,1,no,no,1.2901,B/C,,1,1,22.31,13.498,0,,
Merriman River Group,207,25,no,no,1.3218,C/D,-2.7627,0.84,0.6,9.2144,3.0181,24,-7.9621,-2.7627
Brigham Young University,727,4,no,no,1.3713,C/D,1.5969,0.75,0.75,16.445,8.6575,4,16.445,1.5969
Triton Polling & Research,497,3,no,no,1.3822,C/D,0.9786,1,1,14.6433,6.7831,3,8.4033,0.9786
University of Wyoming,667,5,no,no,1.4612,C/D,2.219,1,0.8,12.218,5.6377,5,12.218,2.219
RABA Research,269,9,no,no,1.4735,C/D,2.4359,0.5556,0.5556,8.0944,3.4789,8,8.6375,2.4359
Point Blank Political,550,6,no,no,1.4949,C/D,,0.8333,0.8333,10.685,5.3982,0,,
The Political Matrix/The Listener Group,677,12,no,no,1.5142,C/D,1.4484,0.75,0.5,8.2117,3.6857,11,4.51,1.4484
SurveyMonkey,324,268,no,no,1.6337,D+,4.6289,0.8675,0.556,6.6435,1.7943,255,5.1596,4.6289
TCJ Research,327,132,no,yes,1.6489,F,-4.0723,0.5909,0.4924,6.4399,2.1691,124,-5.5873,-4.0723
Brown University,35,14,no,no,1.6737,C/D,-0.2033,0.8571,0.5714,10.0664,5.5026,8,-1.755,-0.2033
Indiana University-Purdue University Fort Wayne (Downs Center),150,3,no,no,1.7662,C/D,,0,1,23.4233,14.3311,0,,
Long Island University,633,4,no,no,1.7703,C/D,1.8762,1,1,11.9425,8.3125,4,11.9425,1.8762
Nielson Brothers Polling,231,11,no,no,2.0036,C/D,3.0515,0.9091,0.7273,12.2618,6.5919,11,12.2618,3.0515
Ascend Action,726,6,no,no,2.2345,C/D,3.3485,0.8333,1,14.9633,8.2388,6,14.9633,3.3485
Jayhawk Consulting Services,157,2,no,no,2.2924,C/D,2.2674,0.5,1,37.62,28.5568,2,37.62,2.2674
Fort Hays State University,101,6,no,no,2.4953,C/D,-1.0961,0.6667,0.5,22.115,12.9196,2,-18.725,-1.0961
The Dartmouth Poll,879,4,no,no,3.6857,C/D,4.4045,0.75,1,24.225,17.8673,4,24.225,4.4045
